fips_code,name,regional_corporation,borough,grid,reporting_entity,economic_region,pce_eligible,latitude,longitude
0200065,Adak,Aleut Alaska Native Regional Corporation,Aleutians West Census Area,Adak Grid,TDX Adak Generating LLC,Southwest Economic Region,t,51.86824598,-176.64029588
0200650,Akhiok,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Akhiok Grid,City of Akhiok,Gulf Coast Economic Region,t,56.94681464,-154.17324554
0200760,Akiachak,Calista Alaska Native Regional Corporation,Bethel Census Area,Akiachak Grid,Akiachak Native Community,Southwest Economic Region,t,60.91380831,-161.44909474
0200870,Akiak,Calista Alaska Native Regional Corporation,Bethel Census Area,Akiak Grid,Akiak City Council,Southwest Economic Region,t,60.90749213,-161.23000172
0201090,Akutan,Aleut Alaska Native Regional Corporation,Aleutians East Borough,Akutan Grid,City of Akutan,Southwest Economic Region,t,54.13431811,-165.77353925
0201200,Alakanuk,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Emmonak Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,62.68697714,-164.66754759
0201305,Alatna,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Allakaket Grid,Alaska Power & Telephone Company,Interior Economic Region,t,66.55452803,-152.70131499
0201390,Alcan Border,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,,,Interior Economic Region,,62.62210719,-141.010596
0201420,Aleknagik,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,Dillingham Grid,Nushagak Electric Cooperative,Southwest Economic Region,t,59.27920737,-158.62162503
0201560,Aleneva,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,,,Gulf Coast Economic Region,,58.00410201,-152.88103859
0201860,Allakaket,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Allakaket Grid,Alaska Power & Telephone Company,Interior Economic Region,t,66.56004842,-152.64948048
0201970,Ambler,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Ambler Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,67.08647078,-157.85652784
0202080,Anaktuvuk Pass,Arctic Slope Alaska Native Regional Corporation,North Slope Borough,Anaktuvuk Pass Grid,North Slope Borough Power & Light,Northern Economic Region,t,68.14185077,-151.73586607
0203110,Anchor Point,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.7764369,-151.83401493
0203000,Anchorage,Cook Inlet Alaska Native Regional Corporation,Municipality of Anchorage,Railbelt Grid,Chugach Electric Assn Inc,Anchorage/Mat-Su Economic Region,f,61.21627757,-149.89484742
0203220,Anderson,Doyon Alaska Native Regional Corporation,Denali Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.34335795,-149.19078163
0203440,Angoon,Sealaska Alaska Native Regional Corporation,Hoonah-Angoon Census Area,Angoon Grid,Inside Passage Electric,Southeast Economic Region,t,57.4995695,-134.58084625
0203550,Aniak,Calista Alaska Native Regional Corporation,Bethel Census Area,Aniak Grid,Aniak Light & Power,Southwest Economic Region,t,61.57876388,-159.52759488
0203880,Anvik,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Anvik Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,62.65252995,-160.1993288
